"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "JSON", "TypeScript", "TypeScript JSX", "PostCSS", "Groovy", "Properties", "Batch", "XML", "comment", "blank", "total"
"c:\Users\Andak\Desktop\deckedOut\README.md", "Markdown", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 51
"c:\Users\Andak\Desktop\deckedOut\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 68, 23, 183
"c:\Users\Andak\Desktop\deckedOut\android\app\src\debugOptimized\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\Andak\Desktop\deckedOut\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 31
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\res\drawable\rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 23, 3, 38
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\res\values-night\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Andak\Desktop\deckedOut\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 14
"c:\Users\Andak\Desktop\deckedOut\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 4, 25
"c:\Users\Andak\Desktop\deckedOut\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 37, 15, 66
"c:\Users\Andak\Desktop\deckedOut\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\Andak\Desktop\deckedOut\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 32, 22, 95
"c:\Users\Andak\Desktop\deckedOut\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 7, 40
"c:\Users\Andak\Desktop\deckedOut\app.json", "JSON with Comments", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\Users\Andak\Desktop\deckedOut\app\PaywallScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 274, 0, 0, 0, 0, 0, 7, 26, 307
"c:\Users\Andak\Desktop\deckedOut\app\_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Andak\Desktop\deckedOut\app\ageVerification.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 2, 13, 108
"c:\Users\Andak\Desktop\deckedOut\app\categories\[categories]\[deck].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 12, 30, 399
"c:\Users\Andak\Desktop\deckedOut\app\categories\[category].tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 384, 0, 0, 0, 0, 0, 13, 24, 421
"c:\Users\Andak\Desktop\deckedOut\app\categories\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 335, 0, 0, 0, 0, 0, 14, 25, 374
"c:\Users\Andak\Desktop\deckedOut\app\feedback.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 7, 16, 211
